MIN,FG_PCT,FTA,PTS,REB,Jogador,Rookie
31.108,0.423,3.412,16.775,7.676,Lauri Markkanen,Novato
25.786,0.493,2.946,14.161,7.411,Marvin Bagley III,Novato
31.265,0.568,4.078,20.324,9.912,John Collins,Novato
29.267,0.437,3.092,15.954,5.0,Kyle Kuzma,Novato
23.949,0.514,1.915,10.339,5.559,Brandon Clarke,Novato
31.439,0.466,2.825,13.842,5.474,Rui Hachimura,Novato
12.556,0.274,0.556,2.978,2.711,Nicolo Melli,Novato
31.682,0.616,8.318,25.729,6.953,Zion Williamson,Novato
17.425,0.491,2.35,9.525,3.2,Eric Paschall,Novato
30.547,0.428,2.266,12.875,6.531,P.J. Washington,Novato
35.696,0.523,6.674,22.593,10.141,Anthony Davis,Veterano
34.158,0.543,6.123,19.233,9.445,Blake Griffin,Veterano
36.038,0.481,4.025,17.962,7.535,LaMarcus Aldridge,Veterano
36.988,0.468,5.402,19.628,7.841,Dirk Nowitzki,Veterano
26.224,0.522,2.416,12.068,5.671,Pascal Siakam,Veterano
33.335,0.496,4.696,14.783,7.168,Giannis Antetokounmpo,Veterano
28.51,0.438,3.561,12.219,9.452,Julius Randle,Veterano
26.596,0.421,2.006,8.894,6.559,Draymond Green,Veterano
32.586,0.45,5.827,17.429,13.308,Kevin Love,Veterano
