MIN,FG_PCT,AST,STL,TOV,Jogador,Rookie
32.85,0.438,7.271,1.045,3.812,Luka Doncic,Novato
34.662,0.579,7.831,1.699,3.485,Ben Simmons,Novato
31.336,0.392,6.3,1.427,2.691,Lonzo Ball,Novato
31.705,0.467,7.106,1.568,2.917,De'Aaron Fox,Novato
34.504,0.433,9.382,0.959,4.472,Trae Young,Novato
32.78,0.376,6.492,0.932,2.246,Devonte' Graham,Novato
31.762,0.459,7.331,0.885,3.254,Ja Morant,Novato
29.482,0.463,2.643,0.929,1.429,Kendrick Nunn,Novato
34.024,0.47,3.632,1.016,2.6,Collin Sexton,Novato
32.19,0.467,5.7,1.48,2.91,Stephen Curry,Veterano
34.954,0.434,6.023,1.515,2.931,Kyrie Irving,Veterano
35.316,0.402,5.923,1.587,2.381,Kemba Walker,Veterano
35.75,0.43,5.878,0.982,2.53,Damian Lillard,Veterano
34.561,0.423,8.061,1.604,3.561,Russell Westbrook,Veterano
36.937,0.478,6.17,0.774,2.635,Derrick Rose,Veterano
23.711,0.423,3.591,1.013,1.535,Kyle Lowry,Veterano
36.176,0.427,8.31,2.063,2.423,Chris Paul,Veterano
