MIN,FG_PCT,FG3_PCT,PTS,STL,Jogador,Rookie
28.366,0.43,0.363,14.611,1.038,Bogdan Bogdanovic,Novato
34.39,0.487,0.357,20.581,1.01,Shai Gilgeous-Alexander,Novato
22.661,0.4,0.222,7.017,1.008,Josh Okogie,Novato
33.571,0.43,0.338,22.083,1.436,Donovan Mitchell,Novato
21.935,0.433,0.323,11.043,1.022,Nickeil Alexander-Walker,Novato
34.875,0.441,0.409,17.556,0.736,RJ Barrett,Novato
30.204,0.425,0.343,15.093,0.648,Tyler Herro,Novato
29.769,0.381,0.331,14.019,0.865,Luguentz Dort,Novato
28.674,0.455,0.376,14.181,1.069,James Harden,Veterano
35.595,0.431,0.398,17.466,0.982,Klay Thompson,Veterano
34.096,0.421,0.405,16.257,1.081,Bradley Beal,Veterano
38.592,0.485,0.081,25.618,1.757,Dwyane Wade,Veterano
31.711,0.433,0.264,10.624,1.376,Jimmy Butler,Veterano
34.826,0.42,0.344,23.273,0.902,Devin Booker,Veterano
31.357,0.432,0.346,15.806,0.853,Zach LaVine,Veterano
